;codgeo;libgeo;date_arrete;nb_vp_rechargeables_el;nb_vp_rechargeables_gaz;nb_vp
301022;73183;MYANS;2022-03-31;22;0;1397
301024;21379;MARCHESEUIL;2022-09-30;2;0;245
301029;21380;MARCIGNY-SOUS-THIL;2023-03-31;2;0;66
301035;21381;MARCILLY-ET-DRACY;2022-09-30;1;0;92
301038;21382;MARCILLY-OGNY;2023-03-31;1;0;238
301044;21383;MARCILLY-SUR-TILLE;2023-03-31;22;0;1819
301047;21384;MAREY-LÈS-FUSSEY;2023-03-31;2;0;89
301052;21385;MAREY-SUR-TILLE;2023-03-31;3;0;377
301057;21386;MARIGNY-LE-CAHOUËT;2023-03-31;4;0;377
301060;21387;MARIGNY-LÈS-REULLÉE;2022-12-31;4;0;219
301063;21388;MARLIENS;2022-06-30;8;0;582
301066;21389;MARMAGNE;2022-12-31;2;0;276
301068;21390;MARSANNAY-LA-CÔTE;2022-03-31;78;0;5343
301071;21391;MARSANNAY-LE-BOIS;2022-03-31;8;0;896
301076;21392;MARTROIS;2023-03-31;0;0;92
301082;21394;MASSINGY-LÈS-SEMUR;2022-12-31;3;0;204
301085;21395;MASSINGY-LÈS-VITTEAUX;2022-09-30;1;0;98
301088;21396;MAUVILLY;2022-12-31;1;0;92
301090;21397;MAVILLY-MANDELOT;2022-06-30;3;0;220
301093;21398;MAXILLY-SUR-SAÔNE;2022-12-31;2;0;443
301095;21399;MEILLY-SUR-ROUVRES;2021-12-31;0;0;208
301099;21400;LE MEIX;2023-03-31;0;0;61
301104;21401;MELOISEY;2023-03-31;6;0;409
301107;21402;MENESBLE;2021-12-31;0;0;5
301112;21403;MÉNESSAIRE;2023-03-31;1;0;95
301113;21404;MÉNÉTREUX-LE-PITOIS;2021-09-30;7;0;431
301121;21405;MERCEUIL;2023-03-31;7;0;854
301126;21406;MESMONT;2022-09-30;2;0;258
301127;21407;MESSANGES;2022-06-30;3;0;279
301132;21408;MESSIGNY-ET-VANTOUX;2023-03-31;70;0;1654
301137;21409;MEUILLEY;2022-12-31;9;0;492
301142;21410;MEULSON;2022-12-31;0;0;42
301146;21411;MEURSANGES;2022-12-31;15;0;632
301150;21412;MEURSAULT;2022-12-31;47;0;1673
301157;21414;MIMEURE;2022-12-31;3;0;364
301158;21415;MINOT;2021-03-31;1;0;252
301161;21416;MIREBEAU-SUR-BÈZE;2023-03-31;21;0;2008
301165;21417;MISSERY;2023-03-31;2;0;135
301167;21418;MOITRON;2023-03-31;0;0;65
301170;21419;MOLESME;2023-03-31;3;0;280
301172;21420;MOLINOT;2022-09-30;2;0;223
301175;21421;MOLOY;2023-03-31;4;0;301
301179;21422;MOLPHEY;2022-06-30;1;0;162
301182;21423;MONTAGNY-LÈS-BEAUNE;2022-06-30;10;0;855
301185;21424;MONTAGNY-LÈS-SEURRE;2023-03-31;0;0;156
301187;21425;MONTBARD;2022-06-30;22;0;4590
301193;21426;MONTBERTHAULT;2022-12-31;3;0;277
301197;21427;MONTCEAU-ET-ÉCHARNANT;2022-09-30;1;0;219
301201;21428;MONTHELIE;2022-09-30;4;0;170
301202;21429;MONTIGNY-MONTFORT;2022-03-31;1;0;347
301205;21430;MONTIGNY-SAINT-BARTHÉLEMY;2022-06-30;0;0;113
301207;21431;MONTIGNY-SUR-ARMANÇON;2022-12-31;1;0;193
301211;21432;MONTIGNY-SUR-AUBE;2022-06-30;5;0;302
301213;21433;MONTIGNY-MORNAY-VILLENEUVE-SUR-VINGEANNE;2021-09-30;2;0;497
301217;21434;MONTLAY-EN-AUXOIS;2022-03-31;0;0;194
301220;21435;MONTLIOT-ET-COURCELLES;2022-06-30;1;0;308
301224;21437;MONTMANÇON;2022-03-31;0;0;264
301228;21438;MONTMOYEN;2023-03-31;0;0;102
301232;21439;MONTOILLOT;2022-12-31;1;0;116
301237;21441;MONT-SAINT-JEAN;2023-03-31;2;0;304
301240;21444;MOSSON;2023-03-31;0;0;74
301241;21445;LA MOTTE-TERNANT;2022-06-30;2;0;180
301246;21446;MOUTIERS-SAINT-JEAN;2023-03-31;2;0;259
301248;21447;MUSIGNY;2022-09-30;0;0;74
301252;21448;MUSSY-LA-FOSSE;2022-06-30;0;0;108
301254;21449;NAN-SOUS-THIL;2023-03-31;1;0;210
301256;21450;NANTOUX;2021-06-30;2;0;206
301261;21451;NESLE-ET-MASSOULT;2022-06-30;0;0;102
301264;21452;NEUILLY-LÈS-DIJON;2022-09-30;35;0;2929
301266;21454;NICEY;2022-12-31;1;0;144
301269;21455;NOD-SUR-SEINE;2023-03-31;1;0;288
301274;21456;NOGENT-LÈS-MONTBARD;2023-03-31;1;0;174
301276;21457;NOIDAN;2023-03-31;0;0;93
301277;21458;NOIRON-SOUS-GEVREY;2021-09-30;7;1;1075
301282;21459;NOIRON-SUR-BÈZE;2023-03-31;3;0;269
301283;21460;NOIRON-SUR-SEINE;2022-12-31;0;0;86
301287;21461;NOLAY;2022-03-31;8;0;1531
301289;21462;NORGES-LA-VILLE;2022-03-31;17;0;1015
301293;21463;NORMIER;2022-12-31;1;0;69
301296;21464;NUITS-SAINT-GEORGES;2022-12-31;101;0;5525
301300;21465;OBTRÉE;2022-09-30;0;0;78
301305;21466;OIGNY;2022-12-31;3;0;52
301308;21467;OISILLY;2021-12-31;2;0;167
301310;21468;ORAIN;2022-06-30;1;0;111
301316;21469;ORGEUX;2023-03-31;9;0;481
301319;21470;ORIGNY;2022-09-30;1;0;61
301324;21471;ORRET;2022-09-30;0;0;36
301327;21473;OUGES;2021-09-30;11;0;1052
301332;21474;PAGNY-LA-VILLE;2022-09-30;3;0;481
301339;21475;PAGNY-LE-CHÂTEAU;2023-03-31;4;0;628
301344;21476;PAINBLANC;2022-12-31;2;0;222
301345;21477;PANGES;2022-03-31;0;0;90
301347;21478;PASQUES;2021-03-31;1;0;348
301352;21479;PELLEREY;2022-12-31;1;0;123
301357;21480;PERNAND-VERGELESSES;2022-12-31;9;0;286
301358;21481;PERRIGNY-LÈS-DIJON;2022-06-30;33;0;2079
301360;21482;PERRIGNY-SUR-L'OGNON;2023-03-31;4;0;755
301368;21485;PLOMBIÈRES-LÈS-DIJON;2022-12-31;34;0;2539
301373;21487;PLUVET;2023-03-31;8;0;459
301377;21488;POINÇON-LÈS-LARREY;2022-03-31;1;0;221
301383;21489;POISEUL-LA-GRANGE;2022-09-30;2;0;105
301387;21490;POISEUL-LA-VILLE-ET-LAPERRIÈRE;2022-09-30;1;0;206
301388;21491;POISEUL-LÈS-SAULX;2020-12-31;0;0;79
301391;21492;POMMARD;2022-12-31;13;0;489
301395;21493;PONCEY-LÈS-ATHÉE;2022-09-30;6;0;614
301396;21494;PONCEY-SUR-L'IGNON;2021-03-31;1;0;78
301402;21495;PONT;2023-03-31;2;0;149
301406;21496;PONTAILLER-SUR-SAÔNE;2022-09-30;14;0;1626
301410;21497;PONT-ET-MASSÈNE;2022-03-31;3;0;221
301412;21498;POSANGES;2021-09-30;0;0;56
301417;21499;POTHIÈRES;2023-03-31;2;0;231
301423;21500;POUILLENAY;2022-12-31;4;0;693
301427;21501;POUILLY-EN-AUXOIS;2022-12-31;22;0;1594
301431;21502;POUILLY-SUR-SAÔNE;2022-12-31;5;0;754
301434;21503;POUILLY-SUR-VINGEANNE;2023-03-31;2;0;154
