id_commune;Commune;Code departement
5110;PUY SAINT VINCENT;5
5111;PUY-SANIERES;5
546;EMBRUN;5
598;LES ORRES;5
598;LES ORRES;5
523;BRIANCON;5
5119;RISOUL;5
5119;RISOUL;5
5139;LE DEVOLUY;5
561;GAP;5
5153;SAINT-MICHEL-DE-CHAILLOL;5
5133;SAINT-CHAFFREY;5
5161;LA SALLE;5
598;LES ORRES;5
5161;LA SALLE;5
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
6114;SAINT-ANDRE DE LA ROCHE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
6149;LA TRINITE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
6149;LA TRINITE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
6149;LA TRINITE;6
6149;LA TRINITE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
6149;LA TRINITE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
6114;SAINT-ANDRE DE LA ROCHE;6
688;NICE;6
688;NICE;6
6149;LA TRINITE;6
6149;LA TRINITE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
6149;LA TRINITE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
660;FALICON;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
6149;LA TRINITE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
6114;SAINT-ANDRE DE LA ROCHE;6
688;NICE;6
6149;LA TRINITE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
660;FALICON;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
6149;LA TRINITE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
6149;LA TRINITE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
6149;LA TRINITE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
6149;LA TRINITE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
